row	col	sell	type	class	sex	life 
0	0	0	X	F	m	100 
0	0	1	T	R	f	100
0	0	2	.	.	.	0
0	0	3	.	.	.	0
0	1	0	T.	R	m.	100
0	1	1	.	.	.	0
0	1	2	X	F	f	100
0	1	3	.	.	.	0
0	2	0	X	W	f	100
0	2	1	T	.	f	100
0	2	2	.	.	.	0
0	2	3	X	W	m	100
1	0	0	P	.	.	100
1	0	1	X	B	m	100
1	0	2	X	B	f	100
1	0	3	.	.	.	0
1	1	0	P	.	.	100
1	1	1	T	G	m	100
1	1	2	T	G	f	100
1	1	3	.	.	.	0
1	2	0	T	D	m	100
1	2	1	T	D	f	100
1	2	2	.	.	.	0
1	2	3	.	.	.	0
2	0	0	X	F	m	100
2	0	1	P	.	.	100
2	0	2	X	F	f	100
2	0	3	.	.	.	0
2	1	0	P	.	.	100
2	1	1	.	.	.	0
2	1	2	.	.	.	0
2	1	3	X	F	m	100 
2	2	0	X	F	m	100 
2	2	1	P	.	.	100
2	2	2	X	W	f	100
2	2	3	X	W	f	100
